team_name,quarter_label,metric_name,metric_value,metric_unit,source_system,coverage_status,note,last_refresh_utc
Team Connexpoint,2025-Q1,AI-assisted Pull Request Coverage,2.4390,percent,GitHub,automated,2 of 82 merged PRs had AI signals,2026-04-27T18:10:07.329Z
Team Connexpoint,2025-Q1,AI Active Developers,2,count,GitHub,automated,2 of 9 team members,2026-04-27T18:10:07.329Z
Team Webstore,2025-Q1,AI-assisted Pull Request Coverage,1.7544,percent,GitHub,automated,2 of 114 merged PRs had AI signals,2026-04-27T18:10:07.329Z
Team Webstore,2025-Q1,AI Active Developers,2,count,GitHub,automated,2 of 9 team members,2026-04-27T18:10:07.329Z
ASAP,2025-Q1,AI-assisted Pull Request Coverage,0.0000,percent,GitHub,automated,0 of 0 merged PRs had AI signals,2026-04-27T18:10:07.329Z
ASAP,2025-Q1,AI Active Developers,0,count,GitHub,automated,0 of 3 team members,2026-04-27T18:10:07.329Z
Smartcare,2025-Q1,AI-assisted Pull Request Coverage,0.0000,percent,GitHub,automated,0 of 130 merged PRs had AI signals,2026-04-27T18:10:07.329Z
Smartcare,2025-Q1,AI Active Developers,0,count,GitHub,automated,0 of 9 team members,2026-04-27T18:10:07.329Z
Team Connexpoint,2025-Q2,AI-assisted Pull Request Coverage,2.9851,percent,GitHub,automated,4 of 134 merged PRs had AI signals,2026-04-27T18:10:07.329Z
Team Connexpoint,2025-Q2,AI Active Developers,2,count,GitHub,automated,2 of 9 team members,2026-04-27T18:10:07.329Z
Team Webstore,2025-Q2,AI-assisted Pull Request Coverage,2.1277,percent,GitHub,automated,2 of 94 merged PRs had AI signals,2026-04-27T18:10:07.329Z
Team Webstore,2025-Q2,AI Active Developers,1,count,GitHub,automated,1 of 9 team members,2026-04-27T18:10:07.329Z
ASAP,2025-Q2,AI-assisted Pull Request Coverage,9.0909,percent,GitHub,automated,1 of 11 merged PRs had AI signals,2026-04-27T18:10:07.329Z
