workspace_id,client_name,created_at,total_forms,active_forms,inactive_forms,multi_step_forms,forms_with_payments,forms_with_esignature,forms_with_upload,submissions,billing_cycle,source_system,last_refresh_utc
5dcec52c-2f7b-424a-8ab0-d595429be0d1,katyisd,2025-02-12T16:18:52.311209+00:00,4273,27,4246,131,4256,28,5,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
f9d8d2dc-14cd-4b21-8dfe-f961a4152d4e,ccboe,2025-02-12T15:57:04.510311+00:00,3194,274,2920,152,3184,11,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
66db807a-6a88-45c5-8f31-ceb78556c9b1,paulding,2025-02-12T16:33:57.930388+00:00,3086,211,2875,8,3084,3,0,1,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
00ad69fd-1925-4662-a30e-21240a3d336c,stvrain,2025-02-12T16:47:51.098977+00:00,1960,178,1782,11,1936,59,0,12,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
6d631963-089d-4502-b219-64773171fdf6,pearlandisd,2025-02-12T16:34:36.264491+00:00,967,66,901,21,967,36,2,13,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
bc737d46-5f8d-4f73-9638-176a9ce240f8,pcsb,2025-02-12T16:34:26.649378+00:00,927,157,770,39,926,4,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
cf3b5652-c770-4f66-93fa-418fb1ff034e,boerneisd,2025-02-12T15:53:36.185789+00:00,769,56,713,5,768,0,0,1,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
8e162cd1-89ea-4cfd-9ba6-eaa3c0c676eb,northfieldschools,2025-02-12T16:31:32.555010+00:00,644,15,629,49,644,4,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
9c359e24-e662-4515-8388-5d47181df974,drippingspringsisd,2025-02-12T16:05:49.278570+00:00,592,19,573,9,592,4,1,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
5d221b66-9f97-4642-bb94-94ef375d29d9,lake,2025-02-12T16:20:31.381568+00:00,548,42,506,1,548,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
49ebc1dd-3b58-4c80-85db-ee1d1024eeaa,manateeschools,2025-02-12T16:24:53.207800+00:00,455,97,358,22,454,6,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
de0436c0-aee2-4ed7-91d2-400b3f4da2f3,lewisville,2025-02-12T16:22:25.627645+00:00,439,25,414,7,439,1,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
8639c8f0-e4af-4d64-a162-3f953a04ad62,marionschools,2025-02-12T16:25:15.405088+00:00,433,23,410,5,432,2,1,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
399803fc-2398-4717-afd4-f23364be34d5,columbia,2025-02-12T16:01:00.766103+00:00,419,8,411,4,417,3,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
cc416a8b-71e3-4ea5-9452-5d54023e8572,keysschools,2025-02-12T16:19:26.104198+00:00,401,136,265,1,401,1,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
d7220ac4-cba5-41c8-a032-56b11951410c,canyons,2025-02-12T15:56:09.395512+00:00,397,54,343,222,345,240,0,7,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
8908592e-6dd5-4447-aa82-c8e70f6fdc03,cherrycreek,2025-02-12T15:58:42.478187+00:00,390,0,390,11,390,23,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
165fb697-5d59-46a1-b4cd-8b595e260a75,jeffcityschools,2025-02-12T16:17:50.893186+00:00,386,47,339,4,385,3,0,5,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
78c4520a-383f-41aa-b5f4-ec4e22ac1e17,lindberghschools,2025-02-12T16:23:06.288440+00:00,378,26,352,3,378,2,3,7,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
f0c6fd9e-8d30-407b-b31f-0ccced51abd0,bvsd,2025-02-12T15:55:23.472726+00:00,351,27,324,27,350,49,0,1,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
8b83a085-1b4b-40b9-8308-05640e06eeae,dmps,2025-02-12T16:05:24.323617+00:00,348,1,347,0,348,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
f7e45a88-28b3-4b13-ab24-d9dcb9eb1efd,platoacademy,2025-02-12T16:36:18.464410+00:00,316,21,295,1,316,1,0,2,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
06e3d2aa-904a-4020-8f0c-cc4e25fc607d,cfbisd,2025-02-12T15:58:00.894284+00:00,282,42,240,7,282,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
adb3a758-559c-4366-8b4a-9086db1b8c3d,hernando,2025-02-12T16:14:35.836359+00:00,276,106,170,2,275,1,0,6,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
f9d3bfa0-2aa8-4d4e-9c70-545ea3d9c99c,waukee,2025-02-12T16:55:04.930265+00:00,272,13,259,0,270,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
639893a6-85f4-4fbf-a1d5-b81e1912b4e9,okemosk12,2025-02-12T16:33:02.472291+00:00,260,81,179,3,259,1,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
8e4cdca4-f712-48ac-9959-45e6c1406c8f,nbisd,2025-02-12T16:30:00.592904+00:00,258,76,182,4,258,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
