team_name,sprint_id,sprint_name,quarter_label,cards_committed_at_start,cards_removed_after_start,cards_reestimated_after_start,cards_sent_backward_after_start,completed_cards,completed_points,committed_completed_points,average_wip_cards,average_throughput_cards_per_sprint,data_quality_note,last_refresh_utc
Team ASAP,8078,ASAP - 25Q4S1,2025-Q4,14,0,0,2,8,13,13,3.1437,8,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,8177,ASAP - 25Q4S2,2025-Q4,11,1,4,3,11,31,18,4.3927,11,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,8375,ASAP - 25Q4S3,2025-Q4,10,0,1,0,2,5,5,5.4289,2,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,8540,ASAP - 25Q4S4,2025-Q4,8,1,2,5,7,23,11,4.9706,7,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,8672,ASAP - 25Q4S5,2025-Q4,6,0,0,1,4,11,6,3.1583,4,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,8876,ASAP - 25Q4S6,2025-Q4,7,0,0,2,2,6,6,1.6127,2,,2026-06-10T00:04:52.036Z
Team Connexpoint,6527,CXP25Q4 - Sprint 1,2025-Q4,61,0,0,1,9,0,0,9.4607,9,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,7682,CXP25Q4 - Sprint 2,2025-Q4,38,0,0,1,6,0,0,8.8256,6,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,7683,CXP25Q4 - Sprint 3,2025-Q4,66,0,0,4,8,0,0,12.3363,8,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,7684,CXP25Q4 - Sprint 4,2025-Q4,55,0,0,3,19,0,0,12.0255,19,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,7685,CXP25Q4 - Sprint 5,2025-Q4,41,0,0,4,14,0,0,7.3891,14,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,7686,CXP25Q4 - Sprint 6,2025-Q4,66,0,1,4,27,0,0,5.1832,27,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,7687,CXP25Q4 - Sprint 0,2025-Q4,43,0,0,1,11,0,0,10.6489,11,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,7847,VC 25Q4S1,2025-Q4,31,1,25,11,1,3,3,28.5796,1,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,7881,VC 25Q4S2,2025-Q4,47,1,13,12,2,6,6,33.4791,2,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,7882,VC 25Q4S3,2025-Q4,29,14,21,19,5,12,6,29.1231,5,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,7883,VC 25Q4S4,2025-Q4,43,2,24,6,6,21,8,35.0818,6,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,7884,VC 25Q4S5,2025-Q4,43,5,23,15,7,24,16,30.3405,7,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,7885,VC 25Q4S6,2025-Q4,44,1,27,20,4,12,5,33.2153,4,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,7750,WS25Q4S1 - Talented TOOL,2025-Q4,37,3,4,1,16,51,26,14.3824,16,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,7751,WS25Q4S2 - Useful Ukulele DS,2025-Q4,30,11,12,3,7,29,25,8.861,7,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,7752,WS25Q4S3 - Vigorous VicenteFdz,2025-Q4,50,4,15,10,22,51,32,11.3192,22,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,7753,WS25Q4S4 - Wacky Weird Al,2025-Q4,61,1,8,9,19,64,42,16.2656,19,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,7754,WS25Q4S5 - Xenial The XX,2025-Q4,54,0,12,13,15,46,34,21.2809,15,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,7755,WS25Q4S6 - Zextastic Zoé,2025-Q4,59,2,6,6,10,21,21,15.4209,10,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,7814,WS25Q4S0,2025-Q4,36,0,5,2,23,87,83,28.1198,23,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
