issue_key,issue_id,team_name,project_key,issue_type,quarter_label,cycle_time_start_status,cycle_time_start_utc,cycle_time_end_status,cycle_time_end_utc,resolution_at_cycle_time_end,cycle_time_days,cycle_time_weeks,completed_in_done_category_flag,completed_with_allowed_resolution_flag,data_quality_note,last_refresh_utc
OV-81204,331658,Team ASAP,OV,Bug,2026-Q2,In Development,2026-04-09T15:42:01.461Z,Closed,2026-04-16T18:06:33.975Z,Done,7.1,1.01,yes,yes,,2026-06-10T00:04:52.036Z
OV-82906,336009,Team ASAP,OV,Task,2026-Q2,In Development,2026-04-24T16:05:31.976Z,Closed,2026-05-15T17:00:14.199Z,Done,21.04,3.01,yes,yes,,2026-06-10T00:04:52.036Z
OV-82838,335592,Team ASAP,OV,Task,2026-Q2,In Development,2026-04-17T19:37:17.211Z,Closed,2026-05-19T19:20:54.646Z,Done,31.99,4.57,yes,yes,,2026-06-10T00:04:52.036Z
OV-82873,335836,Team ASAP,OV,Task,2026-Q2,In Development,2026-05-04T16:03:23.071Z,Closed,2026-05-19T22:07:20.775Z,Done,15.25,2.18,yes,yes,,2026-06-10T00:04:52.036Z
OV-80475,326975,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-02T16:42:42.617Z,Closed,2026-04-02T16:42:52.343Z,Done,0,0,yes,yes,,2026-06-10T00:04:52.036Z
OV-80772,329255,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-02T14:26:00.447Z,Closed,2026-04-02T17:29:05.890Z,Done,0.13,0.02,yes,yes,,2026-06-10T00:04:52.036Z
OV-80775,329258,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-06T13:42:58.218Z,Closed,2026-04-08T16:32:03.258Z,Done,2.12,0.3,yes,yes,,2026-06-10T00:04:52.036Z
OV-81165,331399,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-08T15:59:56.673Z,Closed,2026-04-08T20:27:14.652Z,Done,0.19,0.03,yes,yes,,2026-06-10T00:04:52.036Z
OV-79957,320441,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-02T18:34:54.136Z,Closed,2026-04-09T21:20:58.271Z,Done,7.12,1.02,yes,yes,,2026-06-10T00:04:52.036Z
OV-80468,326968,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-03-25T15:33:15.620Z,Closed,2026-04-10T15:33:03.651Z,Done,16,2.29,yes,yes,,2026-06-10T00:04:52.036Z
