issue_key,issue_id,summary,issue_type,project_key,team_name,sprint_name,sprint_id,sprint_start_date,sprint_end_date,quarter_label,status_at_sprint_start,status_at_sprint_end,points_at_sprint_start,points_at_sprint_end,completed_in_sprint_flag,in_sprint_wip_flag,added_after_sprint_start_flag,removed_after_sprint_start_flag
OV-78518,307774,AVS and CVV Enablement for all ASAP customers,Task,OV,Team ASAP,ASAP - 26Q2S1,10365,2026-04-08T16:27:46.897Z,2026-04-21T06:00:00.000Z,2026-Q2,Ready For Refinement,Ready For Refinement,1,1,no,no,no,no
OV-80081,321806,GO - Create new app setting for reCaptcha,Task,OV,Team ASAP,ASAP - 26Q2S1,10365,2026-04-08T16:27:46.897Z,2026-04-21T06:00:00.000Z,2026-Q2,Ready for Sprint,Closed,0,0,no,no,no,no
OV-80108,322150,Regression Release 5.2.24,Task,OV,Team ASAP,ASAP - 26Q2S1,10365,2026-04-08T16:27:46.897Z,2026-04-21T06:00:00.000Z,2026-Q2,Ready for Sprint,Ready for Sprint,2,2,no,no,no,no
OV-80529,327246,[A3] Mend - Fix Code High Findings - SQL Injection,Task,OV,Team ASAP,ASAP - 26Q2S1,10365,2026-04-08T16:27:46.897Z,2026-04-21T06:00:00.000Z,2026-Q2,In Development,Ready To Test,5,5,no,yes,no,no
OV-81204,331658,[GO] - Sporadic Timeout on PostHexeaTransaction causing double charges - CXP gateway,Bug,OV,Team ASAP,ASAP - 26Q2S1,10365,2026-04-08T16:27:46.897Z,2026-04-21T06:00:00.000Z,2026-Q2,Ready For Refinement,Closed,3,3,yes,yes,no,no
OV-82413,333542,[A4] Angular Upgrade v11 to 12,Task,OV,Team ASAP,ASAP - 26Q2S1,10365,2026-04-08T16:27:46.897Z,2026-04-21T06:00:00.000Z,2026-Q2,New,Ready To Test,5,5,no,yes,yes,no
OV-82414,333544,[A4] Angular upgrade v12 to 15,Task,OV,Team ASAP,ASAP - 26Q2S1,10365,2026-04-08T16:27:46.897Z,2026-04-21T06:00:00.000Z,2026-Q2,New,In Development,3,3,no,yes,yes,no
OV-82534,334424,[A3] Jquery issues with latest update on release 5.2.23,Bug,OV,Team ASAP,ASAP - 26Q2S1,10365,2026-04-08T16:27:46.897Z,2026-04-21T06:00:00.000Z,2026-Q2,New,Closed,2,2,no,yes,yes,no
OV-82536,334432,[Go] Mend - Critial Find axios-1.9.0.tgz,Task,OV,Team ASAP,ASAP - 26Q2S1,10365,2026-04-08T16:27:46.897Z,2026-04-21T06:00:00.000Z,2026-Q2,New,Ready To Test,2,2,no,yes,yes,no
OV-82838,335592,Automation/QA - Run Brownfield analysis on asap test automation repo,Task,OV,Team ASAP,ASAP - 26Q2S1,10365,2026-04-08T16:27:46.897Z,2026-04-21T06:00:00.000Z,2026-Q2,New,In Development,2,2,no,yes,yes,no
OV-82873,335836,[A4] Fix Release 5.2.23 Generic Save issues caused by Library,Task,OV,Team ASAP,ASAP - 26Q2S1,10365,2026-04-08T16:27:46.897Z,2026-04-21T06:00:00.000Z,2026-Q2,New,New,2,2,no,no,yes,no
OV-78518,307774,AVS and CVV Enablement for all ASAP customers,Task,OV,Team ASAP,ASAP - 26Q2S2,10531,2026-04-22T16:53:40.000Z,2026-05-05T06:00:00.000Z,2026-Q2,Ready For Refinement,Ready For Refinement,1,1,no,no,no,no
OV-80081,321806,GO - Create new app setting for reCaptcha,Task,OV,Team ASAP,ASAP - 26Q2S2,10531,2026-04-22T16:53:40.000Z,2026-05-05T06:00:00.000Z,2026-Q2,Closed,Closed,0,0,no,no,no,no
OV-80108,322150,Regression Release 5.2.24,Task,OV,Team ASAP,ASAP - 26Q2S2,10531,2026-04-22T16:53:40.000Z,2026-05-05T06:00:00.000Z,2026-Q2,Ready for Sprint,Ready for Sprint,2,2,no,no,no,no
OV-80529,327246,[A3] Mend - Fix Code High Findings - SQL Injection,Task,OV,Team ASAP,ASAP - 26Q2S2,10531,2026-04-22T16:53:40.000Z,2026-05-05T06:00:00.000Z,2026-Q2,Ready To Test,Ready To Test,2,2,no,yes,no,no
OV-81204,331658,[GO] - Sporadic Timeout on PostHexeaTransaction causing double charges - CXP gateway,Bug,OV,Team ASAP,ASAP - 26Q2S2,10531,2026-04-22T16:53:40.000Z,2026-05-05T06:00:00.000Z,2026-Q2,Closed,Closed,3,3,no,no,no,no
OV-82413,333542,[A4] Angular Upgrade v11 to 12,Task,OV,Team ASAP,ASAP - 26Q2S2,10531,2026-04-22T16:53:40.000Z,2026-05-05T06:00:00.000Z,2026-Q2,Ready To Test,Ready To Test,3,3,no,yes,no,no
OV-82414,333544,[A4] Angular upgrade v12 to 15,Task,OV,Team ASAP,ASAP - 26Q2S2,10531,2026-04-22T16:53:40.000Z,2026-05-05T06:00:00.000Z,2026-Q2,In Development,In Development,3,3,no,yes,no,no
OV-82417,333550,[A4] Angular upgrade v15 to 16,Task,OV,Team ASAP,ASAP - 26Q2S2,10531,2026-04-22T16:53:40.000Z,2026-05-05T06:00:00.000Z,2026-Q2,New,New,7,7,no,no,no,no
OV-82536,334432,[Go] Mend - Critial Find axios-1.9.0.tgz,Task,OV,Team ASAP,ASAP - 26Q2S2,10531,2026-04-22T16:53:40.000Z,2026-05-05T06:00:00.000Z,2026-Q2,Ready To Test,Ready To Test,2,2,no,yes,no,no
OV-82838,335592,Automation/QA - Run Brownfield analysis on asap test automation repo,Task,OV,Team ASAP,ASAP - 26Q2S2,10531,2026-04-22T16:53:40.000Z,2026-05-05T06:00:00.000Z,2026-Q2,In Secure Code Review,In Secure Code Review,2,2,no,yes,no,no
OV-82873,335836,[A4] Fix Release 5.2.23 Generic Save issues caused by Library,Task,OV,Team ASAP,ASAP - 26Q2S2,10531,2026-04-22T16:53:40.000Z,2026-05-05T06:00:00.000Z,2026-Q2,In Development,In Development,2,2,no,yes,no,no
OV-82904,336004,Regression Release 5.2.23 from latest rollback,Task,OV,Team ASAP,ASAP - 26Q2S2,10531,2026-04-22T16:53:40.000Z,2026-05-05T06:00:00.000Z,2026-Q2,Ready for Sprint,Ready for Sprint,2,2,no,no,no,no
OV-82906,336009,[PPS] Add value to Cybersource feature flag path so it can use certs for all orgs,Task,OV,Team ASAP,ASAP - 26Q2S2,10531,2026-04-22T16:53:40.000Z,2026-05-05T06:00:00.000Z,2026-Q2,New,Ready To Test,2,2,no,yes,no,no
OV-83000,336496,[A4] New Critical Find uuid-3.4.0.tgz,Task,OV,Team ASAP,ASAP - 26Q2S2,10531,2026-04-22T16:53:40.000Z,2026-05-05T06:00:00.000Z,2026-Q2,New,In Development,2,2,no,yes,yes,no
OV-80529,327246,[A3] Mend - Fix Code High Findings - SQL Injection,Task,OV,Team ASAP,ASAP - 26Q2S3,10665,2026-05-06T16:00:44.240Z,2026-05-19T06:00:00.000Z,2026-Q2,Ready To Test,Ready To Test,2,2,no,yes,yes,no
OV-82413,333542,[A4] Angular Upgrade v11 to 12,Task,OV,Team ASAP,ASAP - 26Q2S3,10665,2026-05-06T16:00:44.240Z,2026-05-19T06:00:00.000Z,2026-Q2,Ready To Test,Ready To Test,3,3,no,yes,yes,no
OV-82414,333544,[A4] Angular upgrade v12 to 15,Task,OV,Team ASAP,ASAP - 26Q2S3,10665,2026-05-06T16:00:44.240Z,2026-05-19T06:00:00.000Z,2026-Q2,In Development,In Development,3,3,no,yes,yes,no
OV-82417,333550,[A4] Angular upgrade v15 to 16,Task,OV,Team ASAP,ASAP - 26Q2S3,10665,2026-05-06T16:00:44.240Z,2026-05-19T06:00:00.000Z,2026-Q2,New,New,7,7,no,no,yes,no
OV-82536,334432,[Go] Mend - Critial Find axios-1.9.0.tgz,Task,OV,Team ASAP,ASAP - 26Q2S3,10665,2026-05-06T16:00:44.240Z,2026-05-19T06:00:00.000Z,2026-Q2,Ready To Test,Ready To Test,2,2,no,yes,yes,no
OV-82838,335592,Automation/QA - Run Brownfield analysis on asap test automation repo,Task,OV,Team ASAP,ASAP - 26Q2S3,10665,2026-05-06T16:00:44.240Z,2026-05-19T06:00:00.000Z,2026-Q2,In Secure Code Review,In Secure Code Review,2,2,no,yes,yes,no
OV-82873,335836,[A4] Fix Release 5.2.23 Generic Save issues caused by Library,Task,OV,Team ASAP,ASAP - 26Q2S3,10665,2026-05-06T16:00:44.240Z,2026-05-19T06:00:00.000Z,2026-Q2,In Development,In Test,2,2,no,yes,yes,no
OV-82904,336004,Regression Release 5.2.23 from latest rollback,Task,OV,Team ASAP,ASAP - 26Q2S3,10665,2026-05-06T16:00:44.240Z,2026-05-19T06:00:00.000Z,2026-Q2,Ready for Sprint,In Test,2,2,no,yes,yes,no
OV-82906,336009,[PPS] Add value to Cybersource feature flag path so it can use certs for all orgs,Task,OV,Team ASAP,ASAP - 26Q2S3,10665,2026-05-06T16:00:44.240Z,2026-05-19T06:00:00.000Z,2026-Q2,Ready To Test,Closed,2,2,yes,yes,yes,no
OV-83000,336496,[A4] New Critical Find uuid-3.4.0.tgz,Task,OV,Team ASAP,ASAP - 26Q2S3,10665,2026-05-06T16:00:44.240Z,2026-05-19T06:00:00.000Z,2026-Q2,In Development,In Development,2,2,no,yes,yes,no
OV-83384,339771,SSO - ASAP Org - San Bernardino County Regional Occupational Program (5706),Task,OV,Team ASAP,ASAP - 26Q2S3,10665,2026-05-06T16:00:44.240Z,2026-05-19T06:00:00.000Z,2026-Q2,New,In Verification,1,1,no,yes,yes,no
OV-80529,327246,[A3] Mend - Fix Code High Findings - SQL Injection,Task,OV,Team ASAP,ASAP - 26Q2S4,10764,2026-05-20T14:57:41.987Z,2026-06-02T06:00:00.000Z,2026-Q2,Ready To Test,Ready To Test,2,2,no,yes,no,no
OV-82413,333542,[A4] Angular Upgrade v11 to 12,Task,OV,Team ASAP,ASAP - 26Q2S4,10764,2026-05-20T14:57:41.987Z,2026-06-02T06:00:00.000Z,2026-Q2,Ready To Test,Ready To Test,3,3,no,yes,no,no
OV-82414,333544,[A4] Angular upgrade v12 to 15,Task,OV,Team ASAP,ASAP - 26Q2S4,10764,2026-05-20T14:57:41.987Z,2026-06-02T06:00:00.000Z,2026-Q2,In Development,In Development,3,3,no,yes,no,no
OV-82417,333550,[A4] Angular upgrade v15 to 16,Task,OV,Team ASAP,ASAP - 26Q2S4,10764,2026-05-20T14:57:41.987Z,2026-06-02T06:00:00.000Z,2026-Q2,New,New,7,7,no,no,no,no
OV-82536,334432,[Go] Mend - Critial Find axios-1.9.0.tgz,Task,OV,Team ASAP,ASAP - 26Q2S4,10764,2026-05-20T14:57:41.987Z,2026-06-02T06:00:00.000Z,2026-Q2,Ready To Test,Ready To Test,2,2,no,yes,no,no
OV-83000,336496,[A4] New Critical Find uuid-3.4.0.tgz,Task,OV,Team ASAP,ASAP - 26Q2S4,10764,2026-05-20T14:57:41.987Z,2026-06-02T06:00:00.000Z,2026-Q2,Ready To Test,Ready To Test,2,2,no,yes,no,no
OV-83866,341641,SSN decryption needed on Custom Report - Bethlehem Area Vocational Technical School (4926),Task,OV,Team ASAP,ASAP - 26Q2S4,10764,2026-05-20T14:57:41.987Z,2026-06-02T06:00:00.000Z,2026-Q2,New,In Development,3,3,no,yes,yes,no
OV-79671,317882,Do the thing,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,In Review,,,no,no,no,no
OV-79672,317884,Create/Update x-ray test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-79673,317886,Execute test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-79674,317888,Add to release card,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-79675,317890,Merge to release branch,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-79956,320439,Do the thing,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,In Secure Code Review,Ready To Test,,,no,yes,no,no
OV-79957,320441,Create/Update x-ray test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,In Development,,,no,yes,no,no
OV-79958,320443,Execute test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-79959,320445,Add to release card 04/23,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
