team_name,quarter_label,sev_high,sev1,sev2,sev1_internal,sev1_external,sev2_internal,sev2_external,total_bugs,reopened_distinct,last_refresh_utc
ASAP,2025-Q1,5,0,5,0,0,5,0,30,2,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,2,0,2,0,0,2,0,40,1,2026-06-02T19:09:20.671Z
ASAP,2025-Q3,2,1,1,1,0,1,0,46,0,2026-06-02T19:09:20.671Z
ASAP,2025-Q4,2,1,1,1,0,1,0,32,0,2026-06-02T19:09:20.671Z
ASAP,2026-Q1,3,2,1,2,0,1,0,34,0,2026-06-02T19:09:20.671Z
ASAP,2026-Q2,2,0,2,0,0,2,0,12,0,2026-06-23T18:27:42.152Z
Smartcare,2025-Q1,1,0,1,0,0,1,0,123,15,2026-06-02T19:09:20.671Z
Smartcare,2025-Q2,0,0,0,0,0,0,0,120,14,2026-06-02T19:09:20.671Z
Smartcare,2025-Q3,2,0,2,0,0,2,0,113,12,2026-06-02T19:09:20.671Z
Smartcare,2025-Q4,0,0,0,0,0,0,0,100,7,2026-06-02T19:09:20.671Z
Smartcare,2026-Q1,0,0,0,0,0,0,0,78,4,2026-06-02T19:09:20.671Z
Smartcare,2026-Q2,7,0,7,0,0,7,0,101,6,2026-06-23T18:27:42.152Z
Team Connexpoint,2025-Q1,4,0,4,0,0,3,1,39,1,2026-06-02T19:09:20.671Z
Team Connexpoint,2025-Q2,0,0,0,0,0,0,0,14,0,2026-06-02T19:09:20.671Z
Team Connexpoint,2025-Q3,1,0,1,0,0,1,0,7,0,2026-06-02T19:09:20.671Z
Team Connexpoint,2025-Q4,0,0,0,0,0,0,0,14,0,2026-06-02T19:09:20.671Z
Team Connexpoint,2026-Q1,1,0,1,0,0,1,0,18,0,2026-06-02T19:09:20.671Z
Team Connexpoint,2026-Q2,2,0,2,0,0,2,0,9,0,2026-06-23T18:27:42.152Z
Team Webstore,2025-Q1,1,0,1,0,0,1,0,26,3,2026-06-02T19:09:20.671Z
Team Webstore,2025-Q2,0,0,0,0,0,0,0,39,2,2026-06-02T19:09:20.671Z
Team Webstore,2025-Q3,37,0,37,0,0,37,0,204,7,2026-06-02T19:09:20.671Z
Team Webstore,2025-Q4,4,0,4,0,0,4,0,55,4,2026-06-02T19:09:20.671Z
Team Webstore,2026-Q1,2,1,1,1,0,1,0,37,4,2026-06-02T19:09:20.671Z
Team Webstore,2026-Q2,8,0,8,0,0,7,1,58,1,2026-06-23T18:27:42.152Z
