team_name,quarter_label,metric_name,metric_value,metric_unit,source_system,coverage_status,note,last_refresh_utc
ASAP,2025-Q1,Defect Leakage %,15.63,percent,Jira,Yes (partial),2025-Q1: 5 sev L1+L2 / (30 bugs + 2 reopened).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1,Sev 1 + Sev 2 Bugs,5,count,Jira,Yes (partial),2025-Q1: 0 Sev 1 + 5 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1,Sev 1 Bugs,0,count,Jira,Yes (partial),2025-Q1: 0 Sev 1 + 5 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1,Sev 1 Bugs (External),0,count,Jira,Yes (partial),2025-Q1: 0 Sev 1 + 5 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1,Sev 1 Bugs (Internal),0,count,Jira,Yes (partial),2025-Q1: 0 Sev 1 + 5 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1,Sev 2 Bugs,5,count,Jira,Yes (partial),2025-Q1: 0 Sev 1 + 5 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1,Sev 2 Bugs (External),0,count,Jira,Yes (partial),2025-Q1: 0 Sev 1 + 5 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1,Sev 2 Bugs (Internal),5,count,Jira,Yes (partial),2025-Q1: 0 Sev 1 + 5 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S1,Defect Leakage %,0,percent,Jira,Yes (partial),2025-Q1-S1: 0 sev L1+L2 / (4 bugs + 0 reopened).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S1,Sev 1 + Sev 2 Bugs,0,count,Jira,Yes (partial),2025-Q1-S1: 0 Sev 1 + 0 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S1,Sev 1 Bugs,0,count,Jira,Yes (partial),2025-Q1-S1: 0 Sev 1 + 0 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S1,Sev 1 Bugs (External),0,count,Jira,Yes (partial),2025-Q1-S1: 0 Sev 1 + 0 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S1,Sev 1 Bugs (Internal),0,count,Jira,Yes (partial),2025-Q1-S1: 0 Sev 1 + 0 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
