team_name,quarter_label,metric_name,metric_value,metric_unit,source_system,coverage_status,note,last_refresh_utc
EDU,2025-Q1,Actual Cycle Time (weeks),1.41,weeks,Jira,Yes (partial),Portfolio rollup weighted by completed items across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-Q1,Average Velocity (points per sprint),25.52,points,Jira,Yes (partial),Portfolio rollup weighted by team sprint counts across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-Q1,Flow-based Cycle Time Proxy (weeks),2.23,weeks,Jira,Yes (partial),Portfolio flow-health rollup rebuilt from total WIP and total throughput across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-Q1,Jira Card Churn %,36.27,percent,Jira,Yes (partial),"Portfolio churn rollup rebuilt from total removed, re-estimated, backward-move, and committed counts.",2026-06-10T00:04:52.036Z
EDU,2025-Q2,Actual Cycle Time (weeks),1.26,weeks,Jira,Yes (partial),Portfolio rollup weighted by completed items across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-Q2,Average Velocity (points per sprint),18.58,points,Jira,Yes (partial),Portfolio rollup weighted by team sprint counts across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-Q2,Flow-based Cycle Time Proxy (weeks),2.56,weeks,Jira,Yes (partial),Portfolio flow-health rollup rebuilt from total WIP and total throughput across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-Q2,Jira Card Churn %,33.41,percent,Jira,Yes (partial),"Portfolio churn rollup rebuilt from total removed, re-estimated, backward-move, and committed counts.",2026-06-10T00:04:52.036Z
EDU,2025-Q3,Actual Cycle Time (weeks),1.53,weeks,Jira,Yes (partial),Portfolio rollup weighted by completed items across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-Q3,Average Velocity (points per sprint),20.48,points,Jira,Yes (partial),Portfolio rollup weighted by team sprint counts across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-Q3,Flow-based Cycle Time Proxy (weeks),3.5,weeks,Jira,Yes (partial),Portfolio flow-health rollup rebuilt from total WIP and total throughput across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-Q3,Jira Card Churn %,40.9,percent,Jira,Yes (partial),"Portfolio churn rollup rebuilt from total removed, re-estimated, backward-move, and committed counts.",2026-06-10T00:04:52.036Z
EDU,2025-Q4,Actual Cycle Time (weeks),1.24,weeks,Jira,Yes (partial),Portfolio rollup weighted by completed items across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-Q4,Average Velocity (points per sprint),17.69,points,Jira,Yes (partial),Portfolio rollup weighted by team sprint counts across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-Q4,Flow-based Cycle Time Proxy (weeks),2.97,weeks,Jira,Yes (partial),Portfolio flow-health rollup rebuilt from total WIP and total throughput across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-Q4,Jira Card Churn %,41.21,percent,Jira,Yes (partial),"Portfolio churn rollup rebuilt from total removed, re-estimated, backward-move, and committed counts.",2026-06-10T00:04:52.036Z
EDU,2025-YTD,Actual Cycle Time (weeks),1.36,weeks,Jira,Yes (partial),Year-to-date portfolio rollup weighted by completed items across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Actual Cycle Time (weeks),1.36,weeks,Jira,Yes (partial),Year-to-date portfolio rollup weighted by completed items across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Actual Cycle Time (weeks),1.36,weeks,Jira,Yes (partial),Year-to-date portfolio rollup weighted by completed items across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Actual Cycle Time (weeks),1.36,weeks,Jira,Yes (partial),Year-to-date portfolio rollup weighted by completed items across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Actual Cycle Time (weeks),1.36,weeks,Jira,Yes (partial),Year-to-date portfolio rollup weighted by completed items across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Actual Cycle Time (weeks),1.36,weeks,Jira,Yes (partial),Year-to-date portfolio rollup weighted by completed items across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Average Velocity (points per sprint),20.35,points,Jira,Yes (partial),Year-to-date portfolio rollup weighted by team sprint counts across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Average Velocity (points per sprint),20.35,points,Jira,Yes (partial),Year-to-date portfolio rollup weighted by team sprint counts across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Average Velocity (points per sprint),20.35,points,Jira,Yes (partial),Year-to-date portfolio rollup weighted by team sprint counts across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Average Velocity (points per sprint),20.35,points,Jira,Yes (partial),Year-to-date portfolio rollup weighted by team sprint counts across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Average Velocity (points per sprint),20.35,points,Jira,Yes (partial),Year-to-date portfolio rollup weighted by team sprint counts across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Average Velocity (points per sprint),20.35,points,Jira,Yes (partial),Year-to-date portfolio rollup weighted by team sprint counts across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Flow-based Cycle Time Proxy (weeks),2.83,weeks,Jira,Yes (partial),Year-to-date portfolio flow-health rollup rebuilt from total WIP and total throughput across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Flow-based Cycle Time Proxy (weeks),2.83,weeks,Jira,Yes (partial),Year-to-date portfolio flow-health rollup rebuilt from total WIP and total throughput across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Flow-based Cycle Time Proxy (weeks),2.83,weeks,Jira,Yes (partial),Year-to-date portfolio flow-health rollup rebuilt from total WIP and total throughput across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Flow-based Cycle Time Proxy (weeks),2.83,weeks,Jira,Yes (partial),Year-to-date portfolio flow-health rollup rebuilt from total WIP and total throughput across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Flow-based Cycle Time Proxy (weeks),2.83,weeks,Jira,Yes (partial),Year-to-date portfolio flow-health rollup rebuilt from total WIP and total throughput across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Flow-based Cycle Time Proxy (weeks),2.83,weeks,Jira,Yes (partial),Year-to-date portfolio flow-health rollup rebuilt from total WIP and total throughput across all in-scope teams.,2026-06-10T00:04:52.036Z
EDU,2025-YTD,Jira Card Churn %,38.32,percent,Jira,Yes (partial),"Year-to-date portfolio churn rollup rebuilt from total removed, re-estimated, backward-move, and committed counts.",2026-06-10T00:04:52.036Z
EDU,2025-YTD,Jira Card Churn %,38.32,percent,Jira,Yes (partial),"Year-to-date portfolio churn rollup rebuilt from total removed, re-estimated, backward-move, and committed counts.",2026-06-10T00:04:52.036Z
EDU,2025-YTD,Jira Card Churn %,38.32,percent,Jira,Yes (partial),"Year-to-date portfolio churn rollup rebuilt from total removed, re-estimated, backward-move, and committed counts.",2026-06-10T00:04:52.036Z
