team_name,quarter_label,metric_name,metric_value,metric_unit,source_system,coverage_status,note,last_refresh_utc
EDU,2025-Q1,MTTR (Sev 1 + Sev 2),20.23,hours,Jira,Yes (partial),"Portfolio rollup. 2025-Q1: 5 Sev 1/2 ticket(s), median 20.23h / avg 42.09h business time.",2026-06-05T17:15:33.505Z
EDU,2025-Q1,MTTR Avg (Sev 1 + Sev 2),42.09,hours,Jira,Yes (partial),"Portfolio rollup. 2025-Q1: 5 Sev 1/2 ticket(s), median 20.23h / avg 42.09h business time.",2026-06-05T17:15:33.505Z
EDU,2025-Q1,MTTR Tickets (Sev 1 + Sev 2),5,count,Jira,Yes (partial),"Portfolio rollup. 2025-Q1: 5 Sev 1/2 ticket(s), median 20.23h / avg 42.09h business time.",2026-06-05T17:15:33.505Z
EDU,2025-Q2,MTTR (Sev 1 + Sev 2),5.82,hours,Jira,Yes (partial),"Portfolio rollup. 2025-Q2: 62 Sev 1/2 ticket(s), median 5.82h / avg 49.07h business time.",2026-06-05T17:15:33.505Z
EDU,2025-Q2,MTTR Avg (Sev 1 + Sev 2),49.07,hours,Jira,Yes (partial),"Portfolio rollup. 2025-Q2: 62 Sev 1/2 ticket(s), median 5.82h / avg 49.07h business time.",2026-06-05T17:15:33.505Z
EDU,2025-Q2,MTTR Tickets (Sev 1 + Sev 2),62,count,Jira,Yes (partial),"Portfolio rollup. 2025-Q2: 62 Sev 1/2 ticket(s), median 5.82h / avg 49.07h business time.",2026-06-05T17:15:33.505Z
EDU,2025-Q3,MTTR (Sev 1 + Sev 2),21.29,hours,Jira,Yes (partial),"Portfolio rollup. 2025-Q3: 82 Sev 1/2 ticket(s), median 21.29h / avg 65.22h business time.",2026-06-05T17:15:33.505Z
EDU,2025-Q3,MTTR Avg (Sev 1 + Sev 2),65.22,hours,Jira,Yes (partial),"Portfolio rollup. 2025-Q3: 82 Sev 1/2 ticket(s), median 21.29h / avg 65.22h business time.",2026-06-05T17:15:33.505Z
EDU,2025-Q3,MTTR Tickets (Sev 1 + Sev 2),82,count,Jira,Yes (partial),"Portfolio rollup. 2025-Q3: 82 Sev 1/2 ticket(s), median 21.29h / avg 65.22h business time.",2026-06-05T17:15:33.505Z
EDU,2025-Q4,MTTR (Sev 1 + Sev 2),48.11,hours,Jira,Yes (partial),"Portfolio rollup. 2025-Q4: 43 Sev 1/2 ticket(s), median 48.11h / avg 510.28h business time.",2026-06-05T17:15:33.505Z
EDU,2025-Q4,MTTR Avg (Sev 1 + Sev 2),510.28,hours,Jira,Yes (partial),"Portfolio rollup. 2025-Q4: 43 Sev 1/2 ticket(s), median 48.11h / avg 510.28h business time.",2026-06-05T17:15:33.505Z
EDU,2025-Q4,MTTR Tickets (Sev 1 + Sev 2),43,count,Jira,Yes (partial),"Portfolio rollup. 2025-Q4: 43 Sev 1/2 ticket(s), median 48.11h / avg 510.28h business time.",2026-06-05T17:15:33.505Z
EDU,2025-YTD,MTTR (Sev 1 + Sev 2),23.9,hours,Jira,Yes (partial),"Portfolio rollup. 2025-YTD: 192 Sev 1/2 ticket(s), median 23.9h / avg 159.08h business time.",2026-06-05T17:15:33.505Z
