team_name,quarter_label,sprint_key,sprint_sequence,sprint_name,sprint_start_date,sprint_end_date,sprint_length_weeks
Team ASAP,2025-Q1,2025-Q1-S1,1,ASAP - 25Q1S1 01/01- 01/14,2025-01-02,2025-01-15,2
Team ASAP,2025-Q1,2025-Q1-S2,2,ASAP - 25Q1S2 01/15 - 01/28,2025-01-15,2025-01-28,2
Team ASAP,2025-Q1,2025-Q1-S3,3,ASAP - 25Q1S3 01/29 - 02/11,2025-01-29,2025-02-11,2
Team ASAP,2025-Q1,2025-Q1-S4,4,ASAP - 25Q1S4 02/12 - 02/25,2025-02-12,2025-02-25,2
Team ASAP,2025-Q1,2025-Q1-S5,5,ASAP - 25Q1S5 02/26 - 03/11,2025-02-26,2025-03-11,2
Team ASAP,2025-Q1,2025-Q1-S6,6,ASAP - 25Q1S6 03/12- 03/25,2025-03-12,2025-03-25,2
Team ASAP,2025-Q2,2025-Q2-S1,1,ASAP - 25Q2S1 04/02- 04/15,2025-04-02,2025-04-15,2
Team ASAP,2025-Q2,2025-Q2-S2,2,ASAP - 25Q2S2 04/16- 04/29,2025-04-16,2025-04-29,2
Team ASAP,2025-Q2,2025-Q2-S3,3,ASAP - 25Q2S3 04/30 - 05/13,2025-04-30,2025-05-13,2
Team ASAP,2025-Q2,2025-Q2-S4,4,ASAP - 25Q2S4 05/14 - 05/27,2025-05-14,2025-05-27,2
Team ASAP,2025-Q2,2025-Q2-S5,5,ASAP - 25Q2S5 05/16 - 06/10,2025-05-28,2025-06-10,2
Team ASAP,2025-Q2,2025-Q2-S6,6,ASAP - 25Q2S6 06/ - 06/24,2025-06-11,2025-06-25,2
Team ASAP,2025-Q3,2025-Q3-S1,1,ASAP - 25Q3S1 07/02 - 07/15,2025-07-02,2025-07-16,2
Team ASAP,2025-Q3,2025-Q3-S2,2,ASAP - 25Q3S2 07/16 - 07/29,2025-07-16,2025-07-30,2
Team ASAP,2025-Q3,2025-Q3-S3,3,ASAP - 25Q3S3 07/30 - 08/12,2025-07-30,2025-08-13,2
Team ASAP,2025-Q4,2025-Q4-S1,1,ASAP - 25Q4S1,2025-10-01,2025-10-14,2
Team ASAP,2025-Q4,2025-Q4-S2,2,ASAP - 25Q4S2,2025-10-15,2025-10-28,2
Team ASAP,2025-Q4,2025-Q4-S3,3,ASAP - 25Q4S3,2025-10-29,2025-11-04,2
Team ASAP,2025-Q4,2025-Q4-S4,4,ASAP - 25Q4S4,2025-11-12,2025-11-25,2
Team ASAP,2025-Q4,2025-Q4-S5,5,ASAP - 25Q4S5,2025-11-26,2025-12-10,2
Team ASAP,2025-Q4,2025-Q4-S6,6,ASAP - 25Q4S6,2025-12-10,2025-12-23,2
Team ASAP,2026-Q1,2026-Q1-S1,1,ASAP - 26Q1S1,2026-01-07,2026-01-20,2
Team ASAP,2026-Q1,2026-Q1-S2,2,ASAP - 26Q1S2,2026-01-21,2026-02-03,2
Team ASAP,2026-Q1,2026-Q1-S3,3,ASAP - 26Q1S3,2026-02-04,2026-02-17,2
Team ASAP,2026-Q1,2026-Q1-S4,4,ASAP - 26Q1S4,2026-02-18,2026-03-03,2
Team ASAP,2026-Q1,2026-Q1-S5,5,ASAP - 26Q1S5,2026-03-04,2026-03-17,2
Team ASAP,2026-Q1,2026-Q1-S6,6,ASAP - 26Q1S6,2026-03-18,2026-03-31,2
Team ASAP,2026-Q2,2026-Q2-S1,1,ASAP - 26Q2S1,2026-04-08,2026-04-21,2
Team ASAP,2026-Q2,2026-Q2-S2,2,ASAP - 26Q2S2,2026-04-22,2026-05-05,2
Team ASAP,2026-Q2,2026-Q2-S3,3,ASAP - 26Q2S3,2026-05-06,2026-05-19,2
Team ASAP,2026-Q2,2026-Q2-S4,4,ASAP - 26Q2S4,2026-05-20,2026-06-02,2
Team ASAP,2026-Q2,2026-Q2-S5,5,ASAP - 26Q2S5,2026-06-03,2026-06-17,2
